order,category,appears_in_tabs,read_time_min,title,slug,excerpt,suggested_cta,priority
1,Poradniki,Wszystkie;Poradniki,16,Jak dostać się na studia za granicą? Kompletny przewodnik krok po kroku,/jak-dostac-sie-na-studia-za-granica,"Od wyboru kraju i kierunku po dokumenty, terminy, eseje i finansowanie — przewodnik, który pomaga zrozumieć proces aplikacji bez chaosu i przypadkowych decyzji.","Sprawdź, jak Acadea może pomóc Ci zaplanować indywidualną strategię aplikacyjną. Dostępne są także stypendia.",pillar
2,Poradniki,Wszystkie;Poradniki,11,Dokumenty na studia za granicą — checklista dla kandydatów,/dokumenty-na-studia-za-granica,"Oceny, certyfikat językowy, rekomendacje, CV, eseje i dokumenty finansowe — zobacz, czego zwykle wymagają uczelnie i czego nie zostawiać na ostatnią chwilę.","W Acadea pomagamy sprawdzić, których dokumentów naprawdę potrzebujesz przy Twojej liście uczelni.",high
3,Poradniki,Wszystkie;Poradniki,9,Terminy aplikacji na studia za granicą — dołącz do grupy WhatsApp,/terminy-aplikacji-studia-za-granica,"Deadline’y różnią się między krajami, uczelniami i stypendiami. Wyjaśniamy, jak ich pilnować i dlaczego aktualizacje publikujemy także na grupie WhatsApp Acadea.",Dołącz do grupy WhatsApp Acadea i śledź najważniejsze terminy aplikacyjne.,high
4,Poradniki,Wszystkie;Poradniki,9,"Rankingi uczelni: QS, THE, Shanghai — jak je czytać?",/rankingi-uczelni,"Rankingi mogą pomóc, ale potrafią też wprowadzać w błąd. Sprawdź, co naprawdę mierzą i dlaczego nie warto wybierać uczelni wyłącznie po pozycji w tabeli.",W Acadea pomagamy przełożyć rankingi na realistyczną listę uczelni dopasowaną do profilu ucznia.,high
5,Poradniki,Wszystkie;Poradniki,8,"IELTS, TOEFL czy Duolingo? Certyfikat językowy na studia za granicą",/ielts-toefl-duolingo,"Nie każda uczelnia akceptuje ten sam egzamin. Sprawdź, kiedy potrzebujesz certyfikatu językowego i dlaczego warto zaplanować go wcześniej.",Pomagamy sprawdzić wymagania językowe dla konkretnych uczelni i kierunków.,high
6,Poradniki,Wszystkie;Poradniki,12,Jak napisać personal statement na studia w UK?,/jak-napisac-personal-statement,"Personal statement nie jest listą osiągnięć ani zwykłym listem motywacyjnym. Zobacz, jak pokazać zainteresowanie kierunkiem i uniknąć ogólników.","W Acadea pomagamy przejść od pierwszego szkicu do mocnego, spójnego tekstu aplikacyjnego.",high
7,Poradniki,Wszystkie;Poradniki,8,List motywacyjny a personal statement — jaka jest różnica?,/list-motywacyjny-a-personal-statement,"Wiele osób myli te dwa dokumenty. Tymczasem różnią się strukturą, tonem i przeznaczeniem — szczególnie przy aplikacji do UK, Europy i USA.","Jeśli nie wiesz, jaki tekst przygotować, pomożemy dobrać dokument do kraju i uczelni.",medium
8,Poradniki,Wszystkie;Poradniki,10,Jak wybrać kierunek studiów za granicą?,/jak-wybrac-kierunek-studiow-za-granica,"Dobry kierunek to nie tylko to, co brzmi ciekawie. Trzeba sprawdzić wymagania, strukturę programu, perspektywy i dopasowanie do profilu ucznia.","W Acadea pomagamy dobrać kierunek i uczelnie tak, żeby aplikacja miała sens akademicznie i strategicznie.",high
9,Poradniki,Wszystkie;Poradniki,9,Jak wybrać kraj na studia za granicą?,/jak-wybrac-kraj-na-studia-za-granica,"Kraj to nie wakacje. Liczą się koszty życia, styl nauki, język, rynek pracy, wymagania i to, czy dany system pasuje do Twoich planów.",Nie robimy jednej listy krajów dla wszystkich — analizujemy konkretną sytuację ucznia.,medium
10,Poradniki,Wszystkie;Poradniki,8,Jak poprosić nauczyciela o rekomendację?,/jak-poprosic-o-rekomendacje,"Dobra rekomendacja nie powinna być ogólną pochwałą. Zobacz, kogo poprosić, kiedy to zrobić i jak pomóc nauczycielowi napisać konkretny list.","W Acadea pomagamy przygotować materiały, które wspierają nauczyciela w napisaniu mocnej rekomendacji.",medium
